"economy","economycode","wpid_random","wgt","female","age","educ","inc_q","emp_in","urbanicity_f2f","account","account_fin","account_mob","fin1_1a","fin1_1b","fin2","fin4","fin4a","fin5","fin6","fin7","fin8","fin8a","fin8b","fin9","fin9a","fin10","fin10a","fin10b","fin11_1","fin11a","fin11b","fin11c","fin11d","fin11e","fin11f","fin11g","fin11h","fin13a","fin13b","fin13c","fin13d","fin14_1","fin14_2","fin14_2_China","fin14a","fin14a1","fin14b","fin14c","fin14c_2","fin14c_2_China","fin16","fin17a","fin17a1","fin17b","fin20","fin22a","fin22b","fin22c","fin24","fin24a","fin24b","fin26","fin27_1","fin27c1","fin27c2","fin28","fin29_1","fin29c1","fin29c2","fin30","fin31a","fin31b","fin31b1","fin31b1_China","fin31c","fin32","fin33","fin34a","fin34b","fin34d","fin34e","fin35","fin37","fin38","fin39a","fin39b","fin39d","fin39e","fin42","fin42a","fin43a","fin43b","fin43d","fin43e","fin44a","fin44b","fin44c","fin44d","fin45","fin45_1","fin45_1_China","saved","borrowed","receive_wages","receive_transfers","receive_pension","receive_agriculture","pay_utilities","remittances","mobileowner","internetaccess","anydigpayment","merchantpay_dig"
"Morocco","MAR",194861908,0.374199891905258,2,32,3,5,1,,1,1,0,1,2,1,1,1,1,1,2,,,,1,1,1,1,2,,,,,,,,,,,,,,2,2,,1,2,2,,,,1,1,,2,2,2,2,,1,3,3,2,,,,2,,,,1,1,1,2,,,1,2,1,2,,,2,1,2,1,2,,,2,,,,,,3,3,3,3,,3,,1,0,1,1,4,4,1,5,1,1,1,1
"Morocco","MAR",153730424,4.38809938109656,2,61,1,2,2,,0,0,0,,,2,,,,,,,,,,,,,,2,2,2,2,2,2,1,2,2,,,,,2,,,2,2,2,,,,2,2,,2,2,2,1,,2,1,1,2,,,,1,2,2,2,1,2,2,,,1,2,,,,,,,2,2,,,,,2,,,,,,3,3,3,4,,3,,0,1,4,4,4,4,2,4,1,2,0,0
"Morocco","MAR",207539105,0.775869796703332,2,40,1,4,1,,0,0,0,,,2,,,,,,,,,,,,,,2,2,2,2,2,2,1,2,2,,,,,2,,,2,2,2,,,,2,2,,2,2,2,1,,2,2,1,1,2,1,2,1,2,1,2,2,,,,,,2,,,,,,,2,2,,,,,2,,,,,,6,1,2,2,2,2,,1,1,4,4,4,4,4,3,1,1,0,0
"Morocco","MAR",208120399,1.71607276364769,2,15,1,4,2,,0,0,0,,,2,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,,,,,2,,,2,2,2,,,,2,2,,2,2,2,2,,2,3,2,2,,,,2,,,,2,,,,,,2,,,,,,,2,2,,,,,2,,,,,,1,1,3,3,5,2,,0,0,4,4,4,4,4,5,1,1,0,0
"Morocco","MAR",210247355,0.314970392346173,2,32,1,4,1,,1,1,0,1,2,1,2,,2,2,2,,,,1,2,1,1,1,,,,,,,,,,,,,,2,,,2,2,2,,,,2,2,,1,2,2,1,2,3,3,3,1,1,,,1,1,,,1,2,2,,,1,1,2,1,2,,,1,1,2,1,2,,,1,1,2,2,1,,3,3,3,3,,2,,1,1,1,1,4,2,2,1,1,1,1,0
"Morocco","MAR",190582022,0.900469404557596,1,40,2,5,2,,0,0,0,,,2,,,,,,,,,,,,,,2,2,2,2,2,1,1,2,1,,,,,2,,,2,2,2,,,,2,2,,2,2,2,2,,1,3,3,1,2,2,1,2,,,,2,,,,,,2,,,,,,,2,2,,,,,2,,,,,,3,3,3,3,,3,,0,0,4,4,4,4,4,2,1,1,0,0
"Morocco","MAR",159048538,2.1172762772594,1,28,1,2,2,,0,0,0,,,2,,,,,,,,,,,,,,2,1,2,1,2,2,1,2,2,,,,,2,,,2,2,2,,,,2,2,,2,2,2,2,,2,1,1,2,,,,2,,,,2,,,,,,1,2,2,2,1,,,2,2,,,,,2,,,,,,2,2,2,2,2,1,,0,0,2,4,4,4,4,5,1,2,0,0
"Morocco","MAR",131493318,2.1972531122392,2,38,1,4,1,,0,0,0,,,2,,,,,,,,,,,,,,1,2,2,1,2,2,1,1,1,,,,,2,,,2,2,2,,,,2,2,,2,2,2,2,,1,3,3,1,2,1,2,3,,,,2,,,,,,1,2,2,2,1,,,2,2,,,,,2,,,,,,3,3,3,3,,3,,0,0,2,4,4,4,4,3,1,2,0,0
"Morocco","MAR",158639483,1.96346491048073,1,15,1,2,2,,1,1,0,,,2,,,,,,,,,,,,,,,2,2,2,2,1,1,2,2,,,,,1,1,,2,2,1,2,1,,1,2,,1,2,2,1,2,2,2,3,1,2,1,2,1,2,1,2,2,,,,,,2,,,,,,,1,2,1,2,,,1,1,2,2,2,2,2,1,1,1,1,2,,1,1,4,1,4,3,4,3,1,1,1,1
"Morocco","MAR",149852316,0.982810356189735,1,26,1,2,2,,0,0,0,,,2,,,,,,,,,,,,,,1,1,1,2,2,2,1,2,1,,,,,2,,,2,2,2,,,,2,2,,2,1,2,1,,8,,,2,,,,2,,,,2,,,,,,2,,,,,,,2,2,,,,,2,,,,,,1,1,1,1,2,1,,0,1,4,4,4,4,4,5,1,1,0,0
"Morocco","MAR",128904114,2.11449044371561,2,44,1,3,1,,0,0,0,,,2,,,,,,,,,,,,,,2,2,2,2,2,2,1,2,2,,,,,2,,,2,2,2,,,,2,2,,2,2,2,2,,6,1,1,2,,,,2,,,,1,2,2,,,1,2,,,,,,,2,2,,,,,2,,,,,,2,1,1,2,2,2,,0,0,4,4,4,4,2,5,1,2,0,0
"Morocco","MAR",136457373,2.67534510216518,2,56,2,1,2,,0,0,0,,,2,,,,,,,,,,,,,,1,2,2,3,3,2,1,2,2,,,,,2,,,2,2,2,,,,2,2,,2,2,2,2,,2,4,1,2,,,,2,,,,1,2,2,,,1,2,,,,,,,2,2,,,,,2,,,,,,3,1,2,4,2,3,,0,0,4,4,4,4,2,5,1,2,0,0
"Morocco","MAR",174879288,0.408349543953549,2,34,1,4,1,,1,1,0,,,1,2,,2,2,2,,,,2,,1,2,1,,,,,,,,,,,,,,2,,,2,2,2,,,,2,2,,1,1,2,1,1,1,3,2,1,2,1,1,1,2,1,2,1,2,2,,,1,1,2,2,2,1,,,2,2,,,,,2,,,,,,4,1,1,2,5,2,,1,1,2,4,4,4,2,2,1,1,0,0
"Morocco","MAR",133559451,0.674226475431117,2,21,2,4,1,,0,0,0,,,2,,,,,,,,,,,,,,1,2,2,2,1,1,1,1,2,,,,,2,,,2,2,2,,,,1,2,,1,2,2,1,1,1,3,1,2,,,,2,,,,1,2,2,,,1,2,,,,,,,2,2,,,,,2,,,,,,1,1,2,3,2,3,,1,1,4,4,4,4,2,5,1,1,0,0
"Morocco","MAR",170739850,4.38809938109656,2,40,1,5,2,,0,0,0,,,2,,,,,,,,,,,,,,3,1,1,2,2,3,1,2,2,,,,,2,,,2,2,2,,,,1,2,,2,1,2,2,,7,,,2,,,,2,,,,1,2,2,,,1,2,,,,,,,2,2,,,,,2,,,,,,5,5,1,1,3,3,,1,1,4,4,4,4,2,5,1,2,0,0
"Morocco","MAR",200349116,1.90331671679575,2,16,1,3,2,,0,0,0,,,2,,,,,,,,,,,,,,2,2,4,2,2,3,1,2,1,,,,,2,,,2,2,2,,,,2,2,,2,2,2,2,,1,2,1,2,,,,2,,,,2,,,,,,1,2,2,2,1,,,3,2,,,,,2,,,,,,2,2,4,2,2,2,,1,0,2,5,4,4,4,5,1,1,0,0
"Morocco","MAR",188324239,2.45161005531416,2,70,2,5,2,,1,1,0,1,2,1,2,,1,1,2,,,,1,2,1,1,2,,,,,,,,,,,,,,2,,,2,2,2,,,,2,2,,2,2,1,1,,2,1,4,1,2,1,2,1,1,,,1,1,2,2,,,2,,,,,,,2,2,,,,,2,,,,,,1,1,2,1,4,2,,0,1,4,4,4,4,1,1,1,1,1,0
"Morocco","MAR",116003328,1.70931617923043,1,32,1,3,2,,0,0,0,,,2,,,,,,,,,,,,,,2,1,1,1,1,1,1,1,1,,,,,2,,,2,2,2,,,,2,2,,2,2,2,2,,2,1,1,2,,,,2,,,,2,,,,,,2,,,,,,,2,2,,,,,2,,,,,,2,1,2,2,2,1,,0,0,4,4,4,4,4,5,1,1,0,0
"Morocco","MAR",192222361,1.36032677618638,1,36,1,3,2,,0,0,0,,,2,,,,,,,,,,,,,,1,2,1,2,4,2,1,2,2,,,,,2,,,2,2,2,,,,2,2,,2,1,2,1,,5,1,1,2,,,,2,,,,2,,,,,,2,,,,,,,2,2,,,,,2,,,,,,3,2,1,1,2,3,,0,1,4,4,4,4,4,5,1,1,0,0
"Morocco","MAR",159607687,4.38809938109656,2,67,1,4,2,,1,1,0,1,1,2,,,2,2,2,,,,2,,2,,2,,,,,,,,,,,,,,2,,,2,2,2,,,,2,2,,2,2,2,2,,1,1,1,2,,,,2,,,,2,,,,,,2,,,,,,,2,2,,,,,2,,,,,,3,2,2,3,2,2,,0,0,4,4,4,4,4,5,1,2,0,0
"Morocco","MAR",159161068,0.329418002129184,1,43,1,4,1,,0,0,0,,,2,,,,,,,,,,,,,,1,2,3,2,2,2,1,1,1,,,,,2,,,2,2,2,,,,2,2,,2,1,2,2,,2,2,1,2,,,,2,,,,1,2,2,,,1,2,,,,,,,2,2,,,,,2,,,,,,1,1,1,2,2,1,,0,1,4,4,4,4,2,5,1,1,0,0
"Morocco","MAR",168214251,0.321137611091754,2,38,2,4,1,,1,1,0,,,1,2,,2,2,2,,,,2,,2,,2,,,,,,,,,,,,,,2,,,2,2,2,,,,2,2,,1,2,2,2,2,8,,,2,,,,2,,,,2,,,,,,1,2,2,2,1,,,2,2,,,,,2,,,,,,1,1,1,1,1,1,,1,0,2,4,4,4,4,5,1,1,0,0
"Morocco","MAR",186523568,1.70375525905052,2,22,2,2,2,,1,1,0,2,2,1,2,,1,1,2,,,,1,2,1,2,1,,,,,,,,,,,,,,2,,,2,2,2,,,,2,2,,2,2,2,1,,2,3,2,2,,,,1,1,,,1,2,2,,,1,2,,,,,,,2,2,,,,,2,,,,,,2,2,1,1,2,2,,1,1,4,4,4,4,2,1,1,1,1,0
"Morocco","MAR",190857913,0.562017283779662,2,42,2,1,1,,1,1,0,2,2,1,2,,2,1,2,,,,1,2,1,1,1,,,,,,,,,,,,,,2,,,1,3,2,,,,2,2,,2,2,2,2,,5,3,1,2,,,,1,2,2,1,1,2,2,,,1,2,,,,,,,2,2,,,,,2,,,,,,2,2,2,2,5,1,,0,0,4,4,4,4,2,2,1,1,1,0
"Morocco","MAR",186860905,0.310240477118677,2,40,1,4,1,,1,1,0,1,2,1,2,,2,2,2,,,,1,2,1,2,2,,,,,,,,,,,,,,2,,,2,2,2,,,,2,2,,2,2,2,1,,2,2,4,2,,,,2,,,,1,2,2,,,1,1,1,1,2,,,1,2,2,,,,,2,,,,,,1,4,2,4,1,1,,0,1,1,4,4,4,2,5,1,1,1,0
"Morocco","MAR",152279527,1.11288158406759,2,33,1,4,1,,0,0,0,,,2,,,,,,,,,,,,,,1,2,3,2,2,2,1,3,3,,,,,2,,,2,2,2,,,,2,2,,2,2,2,1,,2,1,1,2,,,,2,,,,2,,,,,,1,2,2,2,1,,,2,2,,,,,2,,,,,,3,2,2,3,2,3,,0,1,2,4,4,4,4,5,1,2,0,0
"Morocco","MAR",166762528,0.597471136413155,2,38,1,2,1,,0,0,0,,,2,,,,,,,,,,,,,,1,2,2,2,2,2,1,2,2,,,,,2,,,2,2,2,,,,2,2,,2,2,2,2,,3,2,2,1,2,1,1,2,,,,2,,,,,,1,2,2,2,1,,,2,2,,,,,2,,,,,,1,1,2,1,4,1,,1,0,2,4,4,4,4,2,1,1,0,0
"Morocco","MAR",129239614,0.304427123239727,2,28,2,5,1,,1,1,0,2,2,1,1,1,1,1,2,,,,1,1,1,1,1,,,,,,,,,,,,,,2,2,,1,1,2,,,,2,1,,1,2,2,2,2,1,3,3,1,1,,,1,1,,,1,1,1,1,,,2,,,,,,,2,2,,,,,2,,,,,,3,3,3,4,,3,,1,0,4,4,4,4,1,1,1,1,1,1
"Morocco","MAR",147016969,0.5265851521526,1,36,2,1,1,,1,1,0,2,2,1,2,,2,2,2,,,,2,,2,,1,,,,,,,,,,,,,,2,,,2,2,2,,,,2,2,,2,1,1,2,,4,1,1,2,,,,1,2,1,1,2,,,,,,2,,,,,,,2,2,,,,,2,,,,,,1,1,1,1,2,1,,0,1,4,4,4,4,4,2,1,1,0,0
"Morocco","MAR",114306313,0.362257581527416,2,47,2,3,1,,1,1,0,1,2,1,2,,2,2,2,,,,1,2,1,1,1,,,,,,,,,,,,,,2,,,2,2,2,,,,2,2,,2,2,2,1,,2,3,3,2,,,,2,,,,1,2,2,,,1,2,,,,,,,2,2,,,,,2,,,,,,3,1,2,2,2,2,,0,1,4,4,4,4,2,5,1,1,0,0
"Morocco","MAR",137721280,0.579443790731241,2,56,2,1,1,,1,1,0,1,2,1,1,2,2,1,2,,,,1,2,1,2,2,,,,,,,,,,,,,,2,,,1,2,2,,,,2,2,,2,2,2,2,,2,3,2,2,,,,2,,,,1,1,1,2,,,2,,,,,,,2,1,1,2,,,2,,,,,,1,2,2,1,4,2,,0,0,4,4,1,4,1,5,1,1,1,0
"Morocco","MAR",192543427,0.510821114995783,1,21,2,5,1,,1,1,0,2,2,1,1,1,2,2,2,,,,1,2,1,1,1,,,,,,,,,,,,,,2,2,,2,2,2,,,,2,2,,1,2,2,1,2,1,3,3,1,2,1,2,1,2,1,2,2,,,,,,2,,,,,,,2,2,,,,,2,,,,,,3,2,3,3,,3,,1,1,4,4,4,4,4,3,1,1,1,1
"Morocco","MAR",141206697,0.346185233162918,1,30,2,2,1,,1,1,0,,,2,,,,,,,,,,,,,,,2,2,2,2,1,1,2,1,,,,,2,,,2,2,2,,,,2,2,,2,2,2,1,,2,4,1,2,,,,2,,,,2,,,,,,1,1,1,2,,,2,2,2,,,,,2,,,,,,3,1,1,4,2,1,,0,1,1,4,4,4,4,5,1,1,1,0
"Morocco","MAR",196682187,0.499606267756424,1,28,1,4,1,,1,1,0,2,2,1,2,,2,2,2,,,,2,,2,,1,,,,,,,,,,,,,,2,,,2,2,2,,,,2,2,,1,1,2,1,1,2,2,2,1,1,,,1,2,1,1,1,2,2,,,1,1,2,2,2,1,,,2,2,,,,,2,,,,,,1,1,1,1,2,1,,1,1,2,4,4,4,2,1,1,1,1,0
"Morocco","MAR",173520910,0.344091403835074,2,42,1,1,1,,1,1,0,1,2,2,,,2,2,2,,,,2,,2,,2,,,,,,,,,,,,,,2,,,2,2,2,,,,2,2,,2,1,2,1,,2,1,1,2,,,,2,,,,2,,,,,,1,2,2,2,1,,,2,2,,,,,2,,,,,,1,1,1,1,3,1,,0,1,2,4,4,4,4,5,1,1,0,0
"Morocco","MAR",171972668,1.88322383607011,1,19,2,5,2,,1,1,0,2,2,1,1,1,2,2,2,,,,2,,1,2,2,,,,,,,,,,,,,,2,1,,2,2,2,,,,2,2,,2,2,2,2,,2,2,1,2,,,,2,,,,2,,,,,,2,,,,,,,2,2,,,,,2,,,,,,3,3,1,1,4,1,,0,0,4,4,4,4,4,5,1,1,1,1
"Morocco","MAR",120681448,0.323691414378309,2,32,2,5,1,,1,1,0,1,2,1,2,,2,2,2,,,,1,1,1,1,1,,,,,,,,,,,,,,2,,,2,2,2,,,,2,2,,2,2,2,1,,2,3,3,2,,,,2,,,,1,2,2,,,1,2,,,,,,,2,2,,,,,2,,,,,,2,3,2,2,1,1,,0,1,4,4,4,4,2,5,1,1,0,0
"Morocco","MAR",139398603,1.77344955001276,2,24,1,2,2,,1,1,0,1,2,1,2,,2,2,2,,,,2,,2,,2,,,,,,,,,,,,,,2,,,2,2,2,,,,2,2,,2,1,2,1,,2,2,2,2,,,,2,,,,2,,,,,,1,1,2,2,1,,,2,2,,,,,2,,,,,,3,1,2,4,2,2,,0,1,2,4,4,4,4,5,1,1,0,0
"Morocco","MAR",160631712,0.323691414378309,2,33,3,5,1,,1,1,1,2,2,1,1,1,1,1,2,,,,1,2,1,1,1,,,,,,,,,,,,,,1,2,,1,2,1,1,2,,2,2,,2,2,2,2,,3,3,3,2,,,,1,1,,,2,,,,,,1,1,1,1,,,2,2,2,,,,,2,,,,,,3,3,3,3,,3,,0,0,1,4,4,4,4,1,1,1,1,1
"Morocco","MAR",145277614,0.499606267756424,1,25,1,1,1,,0,0,0,,,2,,,,,,,,,,,,,,2,2,2,1,2,2,1,1,1,,,,,2,,,2,2,2,,,,2,2,,2,2,2,1,,1,2,1,2,,,,2,,,,2,,,,,,2,,,,,,,2,2,,,,,2,,,,,,2,1,2,4,5,1,,1,1,4,4,4,4,4,5,1,1,0,0
"Morocco","MAR",198324299,1.80276084256613,1,39,1,2,1,,0,0,0,,,2,,,,,,,,,,,,,,2,2,2,2,2,2,1,2,2,,,,,2,,,2,2,2,,,,2,2,,2,2,2,2,,2,1,1,2,,,,2,,,,1,2,2,,,1,2,,,,,,,2,2,,,,,2,,,,,,1,1,1,1,1,2,,0,0,4,4,4,4,2,5,1,2,0,0
"Morocco","MAR",198353946,0.317398262931472,2,34,2,5,1,,1,1,0,2,2,1,2,,2,2,2,,,,1,2,1,2,1,,,,,,,,,,,,,,2,,,2,2,2,,,,2,2,,1,2,2,1,2,1,1,1,2,,,,2,,,,1,2,2,,,1,2,,,,,,,2,2,,,,,2,,,,,,2,1,1,1,2,1,,1,1,4,4,4,4,2,5,1,1,0,0
"Morocco","MAR",163975152,0.408349543953549,2,33,1,5,1,,1,1,1,1,2,1,2,,1,1,2,,,,1,1,1,1,1,,,,,,,,,,1,2,2,1,2,,,2,2,2,,,,2,2,1,2,1,2,1,,8,,,1,2,2,1,1,2,2,1,1,2,2,,,1,1,2,2,2,1,,,2,2,,,,,2,,,,,,2,1,2,4,2,3,,1,1,2,4,4,4,2,2,1,1,1,0
"Morocco","MAR",144459807,0.498795190178875,2,20,2,4,1,,0,0,0,,,2,,,,,,,,,,,,,,1,2,2,2,2,2,2,2,1,,,,,2,,,2,2,1,2,1,,2,2,,2,2,2,1,,2,3,2,1,2,1,2,1,2,1,2,2,,,,,,1,2,2,2,1,,,2,2,,,,,2,,,,,,3,3,3,3,,3,,1,1,2,4,4,4,4,3,1,1,0,0
"Morocco","MAR",129114153,1.25643820106805,2,24,1,5,1,,1,1,0,,,1,2,,1,2,2,,,,1,2,1,1,2,,,,,,,,,,,,,,2,,,2,1,2,,,,2,2,,1,2,2,1,1,4,3,3,1,2,1,1,1,2,1,1,2,,,,,,1,2,1,2,,,2,2,2,,,,,1,1,2,2,1,,3,3,3,3,,3,,1,1,1,4,4,2,4,2,1,1,1,0
"Morocco","MAR",204989266,2.76272829700084,2,53,1,3,1,,1,1,0,1,2,1,2,,2,2,2,,,,1,2,1,1,1,,,,,,,,,,,,,,2,,,2,2,2,,,,2,2,,2,2,2,2,,3,1,2,2,,,,2,,,,2,,,,,,1,2,1,2,,,3,2,2,,,,,2,,,,,,2,1,2,5,5,4,,0,0,1,4,4,4,4,5,1,2,1,0
"Morocco","MAR",116639488,1.33420267080461,1,31,2,5,2,,1,1,0,2,2,2,,,2,2,2,,,,1,2,1,1,2,,,,,,,,,,,,,,2,,,2,2,2,,,,2,2,,2,2,2,2,,2,1,1,2,,,,2,,,,2,,,,,,2,,,,,,,2,2,,,,,2,,,,,,3,2,1,1,3,2,,0,0,4,4,4,4,4,5,1,1,0,0
"Morocco","MAR",191910925,4.38809938109656,1,17,1,1,2,,0,0,0,,,2,,,,,,,,,,,,,,2,2,2,1,2,2,1,2,2,,,,,2,,,2,2,2,,,,2,2,,2,2,2,2,,7,,,2,,,,2,,,,2,,,,,,2,,,,,,,2,2,,,,,2,,,,,,1,1,1,1,5,1,,0,0,4,4,4,4,4,5,1,2,0,0
"Morocco","MAR",111325617,0.915751208693661,1,26,2,4,2,,0,0,0,,,2,,,,,,,,,,,,,,1,2,1,2,2,2,1,2,2,,,,,2,,,2,2,2,,,,2,2,,2,2,2,2,,2,1,1,2,,,,2,,,,2,,,,,,2,,,,,,,2,2,,,,,2,,,,,,1,1,2,2,1,2,,0,0,4,4,4,4,4,5,1,1,0,0
